Comment,Stars
  I have ordered multipurpose laptop stand in callus but it's not good and then ordered in skudgear....it is good and worth for Money....the edges are good...no damages,3.8 out of 5 stars
  1-*,4.0 out of 5 stars
"from Progs jo on 24 August, 2020",1.0 out of 5 stars
Broken item delivered knowlingly as it was the last piece,5.0 out of 5 stars
It came broken .... Why the package was not checked before delivery... No quality control.... Absolute quality lapse.... And then I went again to order another only to find they delivered me the last piece which was broken cause that same colour specification is not...,1.0 out of 5 stars
"  It is not very sterdy. Won't help if you are planning to use it for longer time everyday. Bears only light weight. Colour is good, exactly as shown in the picture. Length, wideness is as mentioned in the description.",3.0 out of 5 stars
  Misleading images and description .  The actual table dimensions { 24×16x 11) do not match the description and images shown (27.6x18.9×11.1).,1.0 out of 5 stars
  Very light weighted. Honestly the glass keeping circle in the table is not of much use. So you can choose the one without it. Best for children an well as it’s very light weighted. Good looking table. Worth buying.,5.0 out of 5 stars
"  As this is very lightweight, it cannot balance itself well.  The design also doesn't help as the table is shaky and its a risk to put the laptop on it unattended.",2.0 out of 5 stars
  Nice procduct  and of good quality,5.0 out of 5 stars
  The table is really good. Only if the cup holder and the phone holder did not come off. These are not stuck to the table and come off every time you carry it. Otherwise very satisfied with the product.,4.0 out of 5 stars
  Looks really good in the picture. In reality it looks like cheap MDF stuff. Quality is strictly ok. Over priced.,3.0 out of 5 stars
  Received the product just today. Overall the product looks good and matches my expectations. But unfortunately I received damaged product. There are multiple damages and I've added pics. I would need a replacement. Thans,3.0 out of 5 stars
  The built is highly satisfying and a standard size classmate register can be kept on it to read or write while the plastic cup holder often comes out but in total the product is good.,3.8 out of 5 stars
  Top surface has started coming off within a week. Not sure how long it will last.,4.0 out of 5 stars
  Its good ... but,1.0 out of 5 stars
Cup holder gets in way for mouse,4.0 out of 5 stars
Doesn’t feel strong,1.0 out of 5 stars
Padding pn the legs is good,3.0 out of 5 stars
"  Decent product at this price, build quality is good and light in weight,  since a bit light this can wobble a bit on bed, but this is fine",5.0 out of 5 stars
  Good,4.0 out of 5 stars
  Good,4.0 out of 5 stars
"  I ordered black but golden and silver strips were printed on the table but I covered it with black fabric paint,other than than its a good table",1.0 out of 5 stars
  Broken table came. Quality is ok.ok..not tht great.,1.0 out of 5 stars
  Useful,4.0 out of 5 stars
product and worth the price,3.0 out of 5 stars
"  The product is very light weight so I doubt its durability and sturdiness. The legs are made of steel but the attachment that hold it with the table is made up of plastic. They should have added adhesive to its cup and tab holder, they come out very easily, it was unexpected. The ply board is half a inch thick. Overall it has a premium outlook. caution: it is not for kids.",3.8 out of 5 stars
"  At first i am hesitate to buy it because there was no ratings and review for this. I thought to place order for this because this got the least price when compared to other tables with cup holder that is 699rs, after receiving the order everything is okay,build quality is good and cup holder is on the right hand side. Blindly Go for it if it is available for less than 700rs",4.0 out of 5 stars
"  It is perfect.. good quality,nice design",1.0 out of 5 stars
I can keep my phone and iPad together in that provided space but the only thing I wanted is that the height should have been 1-2 inch higher than it is now...,4.0 out of 5 stars
"  Although I'm not returning it because I need a study table urgently, still would like to highlight the issues in the product. The product is low quality partical board material. The legs are low quality tubes which came with dents and a bent on the legs. Overall finishing is also not good.",5.0 out of 5 stars
"Due to this lockdown scenario, I'm not venturing out of home but I'm sure at much lower price u can find a better product in your local furniture shop. My suggestion. Don't buy.",5.0 out of 5 stars
  The product just arrived today and after the initial usage I found that the dimensions mentioned in the website are different from the dimensions of the product arrived. In the website it's 27.6 x 18.9 x 11.1 And actual is 23.5 x 15.5 x 9. Either correct the dimensions on the website or deliver the same product as mentioned. A little disappointed.,1.0 out of 5 stars
  I bought this product couple of weeks back from Amazon. The delivery was on time considering the lockdown period however the product is not worth its price. The table legs are very shaky and with a little movement it easily falls off. I was looking for better sturdiness at the price. Only good feature about this one is its mobile/tablet holder.,3.0 out of 5 stars
High risk to laptop /tablet/ phone due to its sturdiness.,2.0 out of 5 stars
"  Good laptop bed-table for the price. I bought two of these but from different sellers. This one was 50/- cheaper and the plastic inserts are of same colour. These tables are never absolutely stable by design (I would have given 5 stars otherwise). So nothing wrong in that. Good quality. Packaging was done very well. I already have a good quality wooden table for which I paid double. But I like this one as this one is bit taller and I can stretch my legs below the table more comfortably. Well it's for my daughter, so pink is what she chose! The grip works better than the wooden one. Width of this one is more. It's lighter in weight to carry more comfortably. Feels sturdy enough. Go for it!",5.0 out of 5 stars
"  Team Amazon,",1.0 out of 5 stars
"Very disappointed with this purchase! It's not even been a month and as you can see from the picture I have attached, the leg of the table has broken. Also the tab holder and cup holder have also become loose and come out. This is a serious concern on quality of the products that you are selling. I have crossed my exchange window but it would be great if you can still provide me a replacement for this product at the earliest.",3.0 out of 5 stars
You can call me for any further details.,5.0 out of 5 stars
  Its a useful product for those who don't have a working table and are working on couch /bed. The table itself is lightweight making it easy to move around the legs and hinge seem durable.,3.8 out of 5 stars
  I loved the table. Much helpful.,4.0 out of 5 stars
Just one minus point it is not stable even on the plain surface! It shakes even with just simple movement,1.0 out of 5 stars
Other than this anyone can buy it without any doubt.,5.0 out of 5 stars
